Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Belize,0.327513596,0.39425773,0.344479628,0.321568848,0.300808371,0.332456951,0.280245845,0.446705629,0.449800413,0.489861704,0.50120397,0.51707814,0.503565258,0.658459755,0.624145029,0.6419139,0.663027432,0.626560772,0.585712115,0.669132027,0.742029428,0.751112853,0.817051039,0.874091412,0.851680367,0.943765893,0.937509711,0.796392797,0.711490773,0.666448856
Bermuda,0.660068883,0.625609838,0.518397651,0.553630561,0.529147557,0.520110138,0.538603913,0.50963956,0.514779086,0.543974139,0.544178676,0.547162871,0.583269407,0.733788483,0.748785426,0.755737396,0.819840667,0.906123075,0.866064715,0.788386435,0.928760407,0.771550834,0.880794819,0.856569343,1.075655975,0.898239776,1.087306048,0.804885938,0.903420205,0.892102624
Bolivia,6.592882225,6.909303788,7.439934869,8.861133796,9.553915737,8.619528045,8.322913274,9.182193566,8.675116144,8.243067084,8.220112245,8.064197586,8.325921859,9.13037133,9.509334425,10.06557833,11.24741851,12.11981606,13.14660129,14.05072422,15.20514318,16.65551477,17.45055743,18.67675236,20.27146531,20.61938788,21.99540148,22.79440955,23.2688932,22.63256837
Brazil,228.6030345,235.8968192,239.3357051,250.5054539,258.8071609,278.6124885,301.9514764,322.4395599,332.3681296,341.6755375,364.7518705,365.6594815,365.5128298,365.8612251,382.3821836,385.3210729,388.5654595,405.5805728,425.5328303,397.6707667,450.4359269,470.1637435,506.6518734,532.9368382,559.3419552,527.9391038,493.5112929,504.1514744,480.141718,478.1701797
Barbados,1.368008018,1.411943848,1.481009783,1.357238173,1.278985287,1.277440222,1.279981187,1.398937004,1.481712903,1.609937165,1.601657774,1.589639238,1.58473952,1.82531931,1.843098558,1.799455275,1.755358047,1.668112166,1.878804386,1.926219158,1.962620221,2.351123345,2.340611515,2.420328613,2.143427286,2.198457798,2.213245124,1.72643639,1.937676615,1.913705846
Brunei,3.343038103,3.708105005,3.903635353,4.068094113,4.364063952,4.699129824,4.9283373,5.488266762,4.671751074,4.593490032,4.888903682,4.876954527,4.791732882,5.703594991,5.269359843,5.175248142,7.698665186,7.299745478,8.0440208,7.998613548,7.338051078,7.513635364,7.47806376,7.382937072,7.213558722,6.518547863,7.105378101,7.443411776,7.712608598,7.346343641
Bhutan,0.182825906,0.186819583,0.186728361,0.189839978,0.234869883,0.310930455,0.340772471,0.392687576,0.432236959,0.502512344,0.421033852,0.451867482,0.487660619,0.502830756,0.51181678,0.551568245,0.559348824,0.570827604,0.611825873,0.841816607,0.924902746,1.126915347,1.077357346,1.105078692,1.122359505,1.298792411,1.408047883,1.507524374,1.702858826,1.894321419
Botswana,2.827712573,2.797034796,3.402539191,3.356076191,3.218432982,3.347890216,3.018809248,3.22286609,3.834623554,4.040513045,4.186198457,4.057762933,4.240405348,4.144299279,4.16980524,4.474650313,4.271784727,4.493540129,4.558556615,4.323291226,3.508676484,4.112165853,3.543391314,5.548334678,7.123809649,7.086145938,6.7636712,7.466957589,7.440988906,7.377950884
Central African Republic,0.198390153,0.248704407,0.209042774,0.227135704,0.238398162,0.245190898,0.264196584,0.270941218,0.276112014,0.28337107,0.2997657,0.309429325,0.309154555,0.291699718,0.288342223,0.285131737,0.298752576,0.297829401,0.225370221,0.218207157,0.224232937,0.225452589,0.227276962,0.155908725,0.167444974,0.23387033,0.246658796,0.264903696,0.271964615,0.281495585
Canada,443.2559864,437.121547,449.7062167,448.4278401,465.7801747,478.4212432,492.0139731,508.0414002,515.4461038,524.9876616,545.0271257,536.1957974,555.3910217,574.9572486,567.7597146,577.9978658,570.4469718,602.654739,581.8678439,548.5276914,564.56267,577.2065547,574.8448366,583.897988,590.0205038,586.6543909,585.5191196,596.1786877,608.4529066,608.4895939
