Country,1970_co2_total,1971_co2_total,1972_co2_total,1973_co2_total,1974_co2_total,1975_co2_total,1976_co2_total,1977_co2_total,1978_co2_total,1979_co2_total,1980_co2_total,1981_co2_total,1982_co2_total,1983_co2_total,1984_co2_total,1985_co2_total,1986_co2_total,1987_co2_total,1988_co2_total,1989_co2_total,1990_co2_total,1991_co2_total,1992_co2_total,1993_co2_total,1994_co2_total,1995_co2_total,1996_co2_total,1997_co2_total,1998_co2_total,1999_co2_total,2000_co2_total,2001_co2_total,2002_co2_total,2003_co2_total,2004_co2_total,2005_co2_total,2006_co2_total,2007_co2_total,2008_co2_total,2009_co2_total,2010_co2_total,2011_co2_total,2012_co2_total,2013_co2_total,2014_co2_total,2015_co2_total,2016_co2_total,2017_co2_total,2018_co2_total,2019_co2_total,2020_co2_total,2021_co2_total,1970_surface_temperature,1971_surface_temperature,1972_surface_temperature,1973_surface_temperature,1974_surface_temperature,1975_surface_temperature,1976_surface_temperature,1977_surface_temperature,1978_surface_temperature,1979_surface_temperature,1980_surface_temperature,1981_surface_temperature,1982_surface_temperature,1983_surface_temperature,1984_surface_temperature,1985_surface_temperature,1986_surface_temperature,1987_surface_temperature,1988_surface_temperature,1989_surface_temperature,1990_surface_temperature,1991_surface_temperature,1992_surface_temperature,1993_surface_temperature,1994_surface_temperature,1995_surface_temperature,1996_surface_temperature,1997_surface_temperature,1998_surface_temperature,1999_surface_temperature,2000_surface_temperature,2001_surface_temperature,2002_surface_temperature,2003_surface_temperature,2004_surface_temperature,2005_surface_temperature,2006_surface_temperature,2007_surface_temperature,2008_surface_temperature,2009_surface_temperature,2010_surface_temperature,2011_surface_temperature,2012_surface_temperature,2013_surface_temperature,2014_surface_temperature,2015_surface_temperature,2016_surface_temperature,2017_surface_temperature,2018_surface_temperature,2019_surface_temperature,2020_surface_temperature,2021_surface_temperature
Mongolia,5.583853411,5.583282949,5.135593735,5.520742168,6.139568462,6.315706817,6.514991021,7.422769733,8.006913804,8.515081591,9.347976572,8.760772982,9.444143628,9.694482507,10.32996515,11.93691658,13.07126847,13.87913473,14.71624758,13.97578912,13.1569708,14.8676081,12.96766624,11.94488398,10.4140701,10.35202513,8.750716603,8.57859542,8.605021863,8.662286917,9.05036671,9.02180569,9.668199516,9.373183992,9.587526239,11.11936026,12.60670683,13.17247358,13.15269404,13.83798606,14.58815698,16.10245292,17.47257624,18.75077525,18.49461157,17.62481146,18.55338812,19.98396772,21.96046977,23.56272654,24.53400933,24.98524241,-0.306,-0.038,0.234,0.689,0.193,0.49,-0.2,0.065,0.908,0.951,0.473,0.217,1.135,0.601,-0.353,-0.444,0.361,0.166,0.63,1.334,1.53,1.08,0.81,0.454,1.329,1.268,0.41,1.933,2.117,1.764,0.98,1.684,1.786,0.49,1.76,0.923,1.221,2.729,1.759,1.397,0.306,0.757,0.23,1.024,1.879,2.131,1.391,2.493,2.207,1.847,2.353,1.994
Martinique,0.553330929,0.556192713,0.65311602,0.675636971,0.606923846,0.71704099,0.661155136,0.726082601,0.740349072,0.703141447,0.730586951,0.728170598,0.692766998,0.713313263,0.733117337,0.870414714,0.896776388,1.048634685,1.270519994,1.570506109,1.679585871,1.488603118,1.681221983,2.082430512,2.030099245,1.979428081,1.991286234,1.914813879,1.889845972,1.985514466,2.09505907,2.101077395,2.091285566,2.320377322,2.338883156,2.21081144,2.127735013,2.178706505,2.136676161,2.335131468,2.462835828,2.354774268,2.382664685,2.410149874,2.488938488,2.14490589,2.162222625,2.078953404,2.078388467,2.066318912,1.715516273,1.904399538,0.186,-0.193,-0.047,0.158,-0.395,-0.394,-0.415,0.02,0.082,0.166,0.401,0.406,0.074,0.433,-0.029,-0.06,0.017,0.591,0.404,-0.001,0.424,0.445,0.405,0.487,0.565,0.67,0.433,0.591,1.003,0.477,0.262,0.506,0.681,0.802,0.515,0.834,0.736,0.846,0.407,0.553,1.177,0.596,0.699,0.714,0.674,0.892,1.034,0.8,0.54,0.752,1.092,0.716
Mauritius,0.301815915,0.302879432,0.347505616,0.377085179,0.445362416,0.464682863,0.512397293,0.594439879,0.622859116,0.627134483,0.58587389,0.604607988,0.556800049,0.63395643,0.681258694,0.640058195,0.79174368,0.837463678,0.927077584,1.044679352,1.191638819,1.275457685,1.347095027,1.484740564,1.529259548,1.56628209,1.640325976,1.647209442,1.807037854,2.21361187,2.448437064,2.586929559,2.642650413,2.766641646,2.790295746,2.984529168,3.328116566,3.420148822,3.493795787,3.443666423,3.681149551,3.66219526,3.749178325,3.848580116,3.984552141,3.988592932,4.059462535,4.200555016,4.158548878,4.213802988,3.857930723,4.12793065,0.333,-0.32,0.133,-0.075,-0.686,-0.105,0.018,0.556,0.345,0.369,0.411,0.199,0.316,0.286,-0.21,-0.06,0.181,0.656,0.443,0.063,0.22,0.492,0.157,0.179,0.466,0.314,0.042,0.585,0.827,0.211,0.173,0.499,0.401,0.69,0.313,0.381,0.312,0.537,0.294,0.797,1.076,0.865,0.665,0.797,0.905,1.158,1.084,1.319,1.051,1.462,1.109,0.987
Malawi,0.341022725,0.338162307,0.346323783,0.365121511,0.379680291,0.420227112,0.476236068,0.483978823,0.465273943,0.539296503,0.578703836,0.558268645,0.519094411,0.438760053,0.417187259,0.467950654,0.469886328,0.57388522,0.544548697,0.618624078,0.930360135,1.196017692,1.247675827,1.423862939,1.14461828,1.238640952,1.36084292,1.513099642,1.221128893,1.250891775,1.45687567,1.397119875,1.397133769,1.436399604,1.468263635,1.56879354,1.672299291,1.651641701,1.835946947,1.769825752,2.161985757,1.776987994,1.579242273,1.530627303,1.404978915,1.328275008,1.44641895,1.599583975,1.852028238,1.873632312,1.708385272,1.818903274,0.164,-0.27,-0.008,0.3,-0.325,-0.147,-0.085,0.504,0.265,0.131,0.231,-0.191,0.0,1.038,0.363,0.016,0.162,0.679,0.693,0.174,0.616,0.15,0.749,0.153,0.27,0.794,0.189,0.626,1.031,0.349,0.797,0.592,0.963,0.982,0.879,1.366,0.997,0.904,0.512,0.648,1.03,0.771,0.925,0.676,1.129,1.141,1.361,1.016,1.022,1.22,1.306,0.762
Malaysia,14.26784385,14.69604436,14.71887837,15.2915944,18.14043912,19.43961987,21.37528569,21.31482531,23.32396786,26.22635143,28.11134843,29.6745118,31.28153756,34.79610373,36.08900159,37.80390651,38.12151189,39.24398742,41.88756055,49.08421007,57.51185679,68.97153937,72.30280967,78.89086458,84.79643846,91.30684809,104.2653438,111.7743196,110.6233823,121.1325663,132.5220901,139.7752618,148.9065847,158.4357081,170.8697825,181.8088479,189.3823865,206.8440656,220.1064428,198.2787636,216.0465553,217.6099788,220.6446422,237.8010455,251.7379793,252.6107283,248.2969622,240.5134148,257.8039042,266.2147447,256.1914887,251.5552154,0.115,-0.243,0.049,0.262,-0.193,-0.029,-0.239,0.073,0.249,0.379,0.292,0.256,0.27,0.689,0.052,0.244,0.281,0.59,0.525,0.181,0.548,0.464,0.429,0.278,0.42,0.544,0.481,0.69,1.279,0.483,0.449,0.689,0.785,0.781,0.755,0.938,0.707,0.763,0.628,0.865,1.111,0.754,0.901,1.121,1.199,1.372,1.836,1.419,1.443,1.7,1.688,1.473
Namibia,0.905100067,0.905471432,0.890766922,0.919512357,0.987480602,1.036039724,0.989902821,1.011473445,1.007976709,1.12847055,1.191756491,1.102596257,1.047472722,1.066425532,1.037942107,1.153257943,1.312484729,1.828099561,1.858452281,1.665952304,1.501068348,1.129249858,1.228651861,1.424907828,1.645407002,1.783284745,1.954722687,2.022288516,2.087077755,1.98588281,1.949514998,2.466931964,2.13596528,2.292636451,2.435973242,2.593097491,2.601002511,2.710602073,3.036427659,3.104793683,3.211633009,3.397770807,3.578748627,3.815124054,3.952902061,4.196560788,4.236282566,4.231998933,4.23989592,4.247685826,3.948242145,4.065384801,0.427,-0.157,0.033,0.624,-0.71,0.024,-0.539,0.2,-0.066,0.432,0.269,0.1,0.431,0.769,0.853,0.591,0.38,1.1,0.482,-0.289,0.726,0.211,0.658,0.702,0.315,1.004,0.19,0.048,1.284,0.85,-0.041,0.414,0.918,1.293,0.858,0.815,-0.079,0.997,0.672,0.462,1.214,-0.478,-0.128,0.759,0.439,1.215,1.473,0.818,1.11,1.821,0.601,-0.059
New Caledonia,1.048915048,1.049015312,1.124859562,1.33099452,1.61865068,1.369381951,1.354978751,1.440865097,1.446798766,1.553567579,1.67361995,1.614620606,1.119007757,1.013322428,1.07621314,1.43384668,1.374827136,1.506130051,1.470296556,1.602214075,1.572680142,1.666081284,1.662433677,1.594046944,1.613029147,1.595250497,1.766078395,1.781240054,1.853950747,1.892660875,2.289926092,2.300195624,2.528105107,2.771936771,2.509768779,2.757099796,2.698164803,2.709768736,2.811187272,2.940020769,3.655106522,3.667383776,3.713263385,3.944058959,4.786552558,4.615422034,4.89158319,4.649036223,5.175524086,5.40865466,5.55755708,5.699091806,0.454,0.128,-0.207,0.799,0.293,0.23,0.155,0.159,0.292,0.208,0.421,0.377,0.194,0.692,0.328,0.509,0.366,0.069,1.05,0.479,0.764,0.35,0.467,0.27,0.228,1.01,1.204,0.549,2.002,1.229,0.759,1.027,1.03,0.788,0.913,0.762,0.683,1.146,1.129,0.909,1.254,1.022,0.87,1.026,1.005,1.215,2.026,1.768,1.384,1.303,1.764,1.689
Niger,0.211823512,0.208148023,0.228321052,0.268412928,0.251345121,0.291400544,0.318091967,0.360244212,0.388508934,0.420162395,0.525571074,0.613576162,0.641441635,0.703767067,0.591726922,0.608693214,0.790276296,0.783919317,0.808632923,0.828943037,0.628779753,0.599529706,0.568689056,0.688927823,0.578431742,0.558668774,0.649482213,0.656727132,0.705088792,0.691339508,0.702321676,0.706640891,0.733845069,0.797533956,0.833574743,0.799400902,0.807591523,0.873880206,0.916647323,1.137212369,1.439361465,1.455955333,2.04586319,2.028128842,2.201632104,2.157367612,2.167893227,1.971832111,2.014489817,2.287489673,2.26123293,2.469814991,0.051,-0.092,0.334,0.445,0.008,-0.409,0.288,-0.357,0.192,0.714,0.518,0.04,0.371,0.029,0.607,0.284,0.733,0.655,0.587,-0.384,0.48,0.862,-0.286,0.403,0.205,0.373,1.054,0.688,0.652,0.549,0.677,0.165,0.542,0.778,0.545,1.169,1.179,0.872,0.283,1.313,1.557,0.956,0.588,0.809,0.987,0.832,0.933,0.843,1.065,0.943,0.776,1.425
Nigeria,29.06575296,42.86421325,55.49535093,66.68151837,84.2517636,64.26588739,75.46764469,66.73658411,69.81750126,99.73883435,89.91196615,73.60962239,70.19865797,70.30548281,70.61986078,73.54159073,71.87865364,68.08104317,77.3694841,79.03515113,74.76788568,80.91724986,88.64183274,86.15296655,80.28074853,88.26654245,103.0383841,101.3228753,91.70492528,90.27878117,99.96985593,105.6544064,95.64603792,106.3996728,102.6164739,100.601219,90.71367115,83.03002143,89.01630753,78.60763316,91.67076908,100.9510166,98.00789771,110.2960786,116.7270917,110.0946123,114.5284631,113.3158337,114.4796489,120.2646329,120.3379024,127.0292518,0.218,-0.053,0.074,0.791,0.135,-0.278,0.038,0.286,0.004,0.508,0.375,0.155,0.36,0.238,0.794,0.389,0.544,0.823,0.501,-0.412,0.582,0.621,-0.122,0.497,0.424,0.38,0.748,0.646,1.034,0.766,0.526,0.225,0.776,0.776,0.698,1.182,1.204,0.816,0.585,1.301,1.426,0.852,0.526,0.922,1.012,1.187,1.168,1.17,1.093,1.229,1.127,1.559
Nicaragua,1.622784049,1.6315094,1.68555131,1.899248867,2.033083993,2.018478454,2.309869129,2.819899842,2.551920619,1.682423741,1.968821579,2.0812694,2.028197775,2.204056258,2.002239139,2.016922281,2.382925275,2.415106588,2.158898917,1.721557692,1.96948653,1.980005043,2.29959398,2.256426735,2.562900697,2.724403925,2.885935895,3.089810287,3.590103972,3.622279254,3.771341959,3.998466697,4.135304056,4.527035733,4.645810171,4.408223188,4.668103304,4.83086846,4.628272735,4.51889813,4.667650159,4.873006196,4.830989404,4.600808347,4.891161201,5.444152283,5.562987249,5.617078272,5.157583263,5.25833946,4.470050877,5.002434496,-0.206,-0.293,0.163,0.434,-0.252,0.061,-0.072,0.269,0.205,0.177,0.511,0.255,0.659,0.786,0.04,0.107,0.171,0.422,0.505,0.158,0.35,0.497,0.487,0.317,0.707,0.898,0.077,0.808,1.087,0.169,0.142,0.502,0.79,0.738,0.576,0.841,0.707,0.844,0.567,0.821,0.868,0.695,0.683,1.201,0.802,1.018,1.315,1.025,0.9,1.161,1.526,1.026
Norway,37.4167803,35.76702944,38.87876221,39.48636407,37.96258244,37.19765634,39.26091941,40.29146647,38.91444511,41.80326337,40.06860592,36.5935627,33.20128776,33.11124587,35.06943201,35.94399003,38.35384503,37.07974321,38.1293467,37.21458623,37.45296841,34.81573143,37.47881288,39.57488783,41.57796968,41.79111052,42.17389678,44.54542977,46.23891058,47.81193057,42.91978707,43.38251971,42.69139996,45.56266902,46.00920759,44.2932382,44.97390764,45.91203918,46.29668455,44.75011593,49.26882576,47.47268465,46.25086264,46.91665504,46.71441138,47.20194409,46.51696245,45.72684156,45.58695555,43.35350833,41.67015419,42.32921125,-0.695,-0.079,0.931,0.918,0.969,1.058,-0.041,-0.552,-0.101,-1.07,-0.313,-0.494,-0.054,0.633,0.532,-0.594,-0.43,-0.83,0.476,1.741,1.517,0.977,1.121,0.697,0.065,0.944,-0.06,0.761,0.383,1.257,1.427,0.613,1.386,1.089,1.3,1.759,1.504,1.702,1.619,1.393,-0.341,1.398,1.063,0.791,2.412,1.781,1.718,1.551,1.485,1.208,2.389,1.499
Nepal,0.272458249,0.277918149,0.35801098,0.50076122,0.497486733,0.417174048,0.360204759,0.403410797,0.38395118,0.555496691,0.619002807,0.543609058,0.608507725,0.835776593,0.896609953,0.686549383,0.9048393,0.961002092,0.965122013,0.777526161,1.098012083,1.346887753,1.412902834,1.561483405,1.896775695,2.063519189,2.188681507,2.416785601,2.562763143,3.335710912,3.423332241,3.659487644,2.989129157,3.392293866,2.948586039,3.300210413,2.734189483,2.818003252,3.112422782,4.098594802,4.811590296,5.388089884,6.236161942,6.270389143,7.291426227,7.355150838,10.55812216,12.61972983,15.22397438,13.61858362,13.92656758,14.31374519,0.128,-0.561,0.024,0.161,0.15,-0.128,-0.035,-0.022,-0.41,0.318,0.121,-0.087,-0.164,-0.423,-0.079,0.324,-0.063,0.349,0.595,0.079,-0.035,0.075,-0.073,-0.177,0.158,0.305,0.208,-0.413,0.313,0.64,0.082,0.448,0.551,0.306,0.351,0.678,0.796,0.727,0.347,1.119,1.138,0.231,0.402,0.189,0.337,0.654,1.169,1.071,0.627,0.854,0.229,0.632
